Date,Open,High,Low,Close,Adj Close,Volume,Dollar
18-11-2008,150.221924,151.297897,142.142212,148.154678,148.154678,16754766,43.51
19-11-2008,147.143463,149.534515,138.769852,139.566864,139.566864,15727932,43.51
20-11-2008,136.931747,140.941711,129.036346,129.295364,129.295364,19632111,43.51
21-11-2008,130.764862,134.182053,123.188263,130.725006,130.725006,20565798,43.51
24-11-2008,134.127258,134.470963,124.04007,128.239334,128.239334,20184775,43.51
25-11-2008,133.838348,142.794769,133.160873,140.498383,140.498383,21623146,43.51
26-11-2008,139.616684,147.178345,137.584305,145.499634,145.499634,12760852,43.51
28-11-2008,144.747452,147.671494,143.601746,145.933014,145.933014,5150232,43.51
01-12-2008,142.804733,143.153427,132.493378,132.498367,132.498367,11465214,43.51
02-12-2008,134.361374,138.371353,130.799728,137.041336,137.041336,11723177,43.51
03-12-2008,134.421158,140.154663,132.174576,139.193268,139.193268,11853865,43.51
04-12-2008,137.748688,141.215683,133.883179,136.657776,136.657776,9809832,43.51
05-12-2008,135.003967,141.589294,131.517044,141.464752,141.464752,13091286,43.51
08-12-2008,144.453552,154.142242,140.473465,150.490921,150.490921,16349654,43.51
09-12-2008,148.289169,158.40625,147.950439,152.413712,152.413712,13831450,43.51
10-12-2008,154.042603,156.862045,151.686447,153.833389,153.833389,10513259,43.51
11-12-2008,151.517075,155.85582,148.343964,149.549454,149.549454,12404722,43.51
12-12-2008,147.302872,157.644104,146.451065,157.290436,157.290436,11487096,43.51
15-12-2008,156.418701,158.650345,151.985321,154.754944,154.754944,13526311,43.51
16-12-2008,156.672745,164.134781,155.053818,162.032669,162.032669,14172122,43.51
17-12-2008,158.725067,160.463547,155.626678,157.031403,157.031403,11622802,43.51
18-12-2008,157.758682,159.576874,153.977859,154.560669,154.560669,9562710,43.51
19-12-2008,154.914337,158.301651,153.923065,154.505875,154.505875,11267275,43.51
22-12-2008,153.703873,154.172119,144.772354,148.000259,148.000259,7864568,43.51
23-12-2008,149.654053,151.088684,147.781082,148.453568,148.453568,7583719,43.51
24-12-2008,150.177094,152.598022,148.632889,150.909348,150.909348,3857405,43.51
26-12-2008,151.46727,152.060043,148.598022,149.619186,149.619186,3932886,43.51
29-12-2008,149.549454,150.127289,145.24559,148.154678,148.154678,7431551,43.51
30-12-2008,149.838364,152.832153,148.797272,150.989059,150.989059,7715813,43.51
31-12-2008,151.532028,154.919327,150.73999,153.25058,153.25058,5795241,43.51
02-01-2009,153.723801,160.309128,152.179596,160.060059,160.060059,7248066,48.41
05-01-2009,159.90065,165.001541,156.91185,163.412491,163.412491,9814650,48.41
06-01-2009,165.868286,169.763687,162.585587,166.406265,166.406265,12898566,48.41
07-01-2009,163.546982,164.837143,158.779861,160.403763,160.403763,9022693,48.41
08-01-2009,158.545731,161.987823,158.077484,161.987823,161.987823,7228393,48.41
09-01-2009,163.138519,163.138519,156.114838,156.946732,156.946732,8713539,48.41
12-01-2009,157.564407,158.879486,154.535767,155.761169,155.761169,6633371,48.41
13-01-2009,155.302887,159.701401,154.615463,156.57312,156.57312,8898228,48.41
14-01-2009,154.421188,156.314102,148.319061,149.92305,149.92305,10976790,48.41
15-01-2009,148.229401,151.223175,142.859528,148.936752,148.936752,11913488,48.41
16-01-2009,151.940491,153.549454,147.297897,149.275482,149.275482,10487965,48.41
20-01-2009,149.011475,149.190796,140.847076,140.847076,140.847076,10134244,48.41
21-01-2009,143.636612,151.183334,143.636612,150.974106,150.974106,9885916,48.41
22-01-2009,148.463516,154.097412,147.023911,152.677719,152.677719,16595973,48.41
23-01-2009,154.057556,165.360184,151.541977,161.743744,161.743744,21546058,48.41
26-01-2009,161.818466,163.387589,159.681473,161.330292,161.330292,9255964,48.41
27-01-2009,162.615479,166.31163,161.529541,165.121078,165.121078,9891537,48.41
28-01-2009,168.358948,175.507156,167.527069,173.68399,173.68399,15440459,48.41
29-01-2009,171.626694,171.880753,169.419968,171.018982,171.018982,14622203,48.41
30-01-2009,171.701416,173.748749,167.37265,168.632919,168.632919,9379024,48.41
02-02-2009,166.520844,171.855835,165.380112,169.649109,169.649109,10452833,48.41
03-02-2009,170.645386,170.859573,166.291702,169.58934,169.58934,13162151,48.41
04-02-2009,169.40004,176.558212,168.951721,170.859573,170.859573,13685907,48.41
05-02-2009,169.818481,177.026459,167.870773,176.199554,176.199554,14583258,48.41
06-02-2009,177.564438,186.207047,177.056351,184.946777,184.946777,14128961,48.41
09-02-2009,184.946777,189.78862,182.964203,188.677795,188.677795,9991912,48.41
10-02-2009,187.287994,188.045166,178.276779,178.585617,178.585617,14260653,48.41
11-02-2009,178.804794,181.818497,175.840912,178.351501,178.351501,10502419,48.41
12-02-2009,175.920609,181.131073,175.08374,180.847137,180.847137,11142208,48.41
13-02-2009,180.418747,180.817245,176.951736,178.172165,178.172165,8324486,48.41
17-02-2009,172.608017,172.896942,169.210754,170.690216,170.690216,11403383,48.41
18-02-2009,172.971664,176.030197,169.624207,175.895706,175.895706,12094163,48.41
19-02-2009,178.067566,179.22821,170.067551,170.680252,170.680252,10014798,48.41
20-02-2009,168.393814,173.808517,166.874512,172.57814,172.57814,12480806,48.41
23-02-2009,172.852112,174.246887,164.159683,164.413742,164.413742,10481340,48.41
24-02-2009,164.891953,174.157211,164.827194,172.080002,172.080002,12237498,48.41
25-02-2009,170.436157,175.492218,168.827194,170.182114,170.182114,12926471,48.41
26-02-2009,172.334045,175.586853,167.950485,167.960449,167.960449,11253222,48.41
27-02-2009,165.853348,171.268051,164.936783,168.363937,168.363937,10880631,48.41
02-03-2009,166.042633,169.713867,162.391312,162.969147,162.969147,11620393,48.41
03-03-2009,164.418716,166.221954,160.573135,162.132294,162.132294,13098513,48.41
04-03-2009,160.976624,163.885712,157.101151,158.864532,158.864532,15695411,48.41
05-03-2009,157.649094,158.944244,150.754929,152.249329,152.249329,13108751,48.41
06-03-2009,153.036377,154.515839,146.575592,153.708862,153.708862,14522631,48.41
09-03-2009,149.429901,152.712601,144.184555,144.901871,144.901871,12991112,48.41
10-03-2009,148.56813,154.670258,146.575592,153.509613,153.509613,13510853,48.41
11-03-2009,154.471008,159.402527,152.284195,158.36142,158.36142,11891606,48.41
12-03-2009,158.177109,161.893188,156.23938,161.160934,161.160934,10085863,48.41
13-03-2009,162.441132,163.118591,158.919327,161.604263,161.604263,7842084,48.41
16-03-2009,162.386337,164.249359,158.70015,159.248093,159.248093,9930684,48.41
17-03-2009,159.492188,167.043884,158.949219,167.043884,167.043884,9460327,48.41
18-03-2009,166.779861,169.365173,163.412491,165.928055,165.928055,10061974,48.41
19-03-2009,165.220718,167.37265,163.078735,164.353958,164.353958,8253220,48.41
20-03-2009,164.533295,165.87326,162.560684,164.463547,164.463547,9511318,48.41
23-03-2009,166.157196,174.07254,165.893188,173.649124,173.649124,8575021,48.41
24-03-2009,172.603043,176.259338,171.357712,172.936783,172.936783,7668637,48.41
25-03-2009,174.545761,175.014008,167.497177,171.392578,171.392578,8705107,48.41
26-03-2009,175.905655,178.909409,173.599304,175.985367,175.985367,12051604,48.41
27-03-2009,174.346512,175.342773,172.089966,173.200806,173.200806,6670509,48.41
30-03-2009,170.635422,171.263062,167.397552,170.705154,170.705154,6211395,48.41
31-03-2009,173.813507,176.094955,172.443634,173.380127,173.380127,7338002,48.41
01-04-2009,171.248123,176.956726,169.669037,176.383865,176.383865,6627147,48.41
02-04-2009,180.976654,184.189606,179.487244,180.573166,180.573166,9009644,48.41
03-04-2009,181.569427,185.165955,178.331573,184.19957,184.19957,7608010,48.41
06-04-2009,182.814758,184.219498,180.025223,183.432449,183.432449,6585191,48.41
07-04-2009,180.622986,181.195831,176.991592,178.65535,178.65535,7387788,48.41
08-04-2009,181.071304,181.818497,177.439911,180.324097,180.324097,5551129,48.41
09-04-2009,184.060104,186.476044,182.441162,185.554489,185.554489,6790558,48.41
13-04-2009,184.97168,188.842178,184.458603,188.34903,188.34903,6123065,48.41
14-04-2009,187.766205,187.791107,182.117386,183.766205,183.766205,6882902,48.41
15-04-2009,182.864578,189.818512,181.40007,189.041428,189.041428,9898363,48.41
16-04-2009,190.037689,195.7164,189.798584,193.64418,193.64418,20446553,48.41
